,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
5,0,,13015,Renai Kenkyuushitsu,Manga,0,False,Kasakura Shuppansha,False,Pass,Pass,False,False,Complete,No,HINASE Yuuki,2007,Yes,Renta!,,False,5.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,,66276,Renai Kennai,Manga,0,False,Houbunsha,False,Pass,Pass,False,False,Complete,No,SHOU Akira,2011,Yes,Project-H,,False,3.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,,3592,Renai Koufukuron,Manga,1,False,Shinshokan,False,05/21/04,05/21/04,False,False,Unknown,Yes,EIKI Eiki,2001,Yes,Juné,1 Volume - Complete/Print,False,7.9,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0,,133106,Renai Lessons,Manga,0,False,Taiseisha,True,Pass,Pass,False,False,Complete,No,nanako,2014,Yes,Renta!,,False,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,,83394,Renai Mousouchuu,Manga,0,False,Houbunsha,False,Pass,Pass,False,False,Complete,No,SAKURABA Chidori,2012,Yes,Renta!,,False,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,,18975,Renai Naika Clinic,Manga,0,False,Akita Shoten,False,Pass,Pass,False,False,Complete,No,MATSUNAE Akemi,2004,Yes,Manga Reborn,not translated 02.2016,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,,47297,Renai Otogibanashi - Toy Box,Manga,2,False,Ichijinsha,False,06/08/10,10/15/11,False,False,Complete,Yes,FUJIMARU Mamenosuke,2009,Yes,Seven Seas,1 Volume - Complete,False,7.2,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0,,118332,Renai Rettousei no Ecchi Keikaku,Manga,0,False,Magazine Magazine,False,Pass,Pass,False,False,Complete,No,YAMA Bikko,2014,Yes,"June, Renta!",April 2016,False,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,0,,97132,Renai Sample,Manga,6,False,Wani Magazine,False,07/26/11,03/21/14,False,False,Complete,Yes,Homunculus,2013,Yes,FAKKU Books,,False,7.9,65,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,,53425,Renai Secret,Manga,0,False,Kasakura,False,Pass,Pass,False,False,Complete,No,TAJIMA Yuri,2010,Yes,Renta!,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
