,Unnamed: 0,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
13,0,archkey TL,Yes,Weekly,17,1,01/12/20,07/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,archosauria,No,Inactive Group,4,3,04/30/09,07/19/12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,ardneh,No,Inactive Group,675,5,11/12/09,05/03/11,4,0,2,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,1,2,0,0,0
16,0,Ards,Yes,Occasionally. About every 11 day(s),45,1,01/15/19,08/01/20,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,Areeb-M,No,Inactive Group,6,1,07/22/18,09/17/18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,Arentastic Translations,No,Inactive Group,4,1,06/25/15,07/03/15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,Arezs Translation,No,Inactive Group,23,3,12/11/15,01/20/16,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,0,argentique,No,Inactive Group,7,7,08/02/09,10/01/09,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0
21,0,argentscarf,No,Inactive Group,2,1,09/08/14,09/12/14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,0,Argle Bargle Scans,No,Inactive Group,1,1,09/19/15,09/19/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,Argo,No,Inactive Group,18,2,02/21/16,02/19/18,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
24,0,Aria,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,aria-dc-al-fine,No,Inactive Group,2,2,05/02/10,10/18/14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,0,Arienai!,No,Inactive Group,108,23,11/10/08,08/08/13,4,0,1,3,0,8,1,0,0,0,0,1,1,0,0,0,6,2,2,5,7,2,3,6,0,2,0,3,0,7,0,0,3,1,0,0
