,0
2001,11
2002,41
2003,139
2004,231
2005,390
2006,571
2007,822
2008,1062
2009,1235
2010,1212
2011,1184
2012,1255
2013,1347
2014,1451
2015,1802
2016,1954
2017,1848
2018,1758
2019,2016
2020,2196
