,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
15,247,23,0,,19785,Afro Samurai,Manga,0,False,Nononhow,False,Pass,Pass,False,False,Complete,Yes,OKAZAKI Takashi,2008.0,Yes,Seven Seas,OOP / 2 Vols - Complete,True,6.7,56,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2008
16,248,24,0,,119928,After Hours,Manga,1,False,Shogakukan,False,06/20/15,03/03/18,False,False,Complete,No,NISHIO Yuuta,2015.0,Yes,Viz,3 Vols - Complete,False,7.9,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2017
17,442,19,0,,75929,Ajin,Manga,4,True,Kodansha,False,02/11/14,Pass,False,True,Ongoing,No,SAKURAI Gamon,2012.0,Yes,"Kodansha USA, Vertical","14 Vols - Ongoing; digital, 14 Vols - Ongoing; print",True,8.4,513,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015
18,466,18,0,,102282,Akame ga Kiru! Zero,Manga,2,False,Square Enix,False,11/19/13,12/06/14,False,False,Complete,Yes,TORU Kei,2013.0,Yes,Yen Press,,False,7.2,86,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016
19,480,7,0,,2113,Akira,Manga,1,True,Kodansha,False,09/13/01,04/19/02,False,False,Complete,Yes,OTOMO Katsuhiro,1982.0,Yes,"Dark Horse, Epic Comics, Kodansha USA",,False,8.6,769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2009
20,510,12,0,,113037,Aldnoah Zero,Manga,0,False,Houbunsha,False,Pass,Pass,False,False,Complete,Yes,Pinakes,2014.0,Yes,Yen Press,4 Vols - Complete,False,6,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
21,516,18,0,,83493,Alice to Zouroku,Manga,0,True,Tokuma Shoten,False,Pass,Pass,False,False,Ongoing,No,IMAI Tetsuya,2012.0,Yes,Seven Seas,6 Vols - Ongoing,False,7.5,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2017
22,526,3,0,,87035,All Out!!,Manga,4,False,Kodansha,False,11/23/16,11/10/19,False,False,Complete,No,AMASE Shiori,2012.0,Yes,Kodansha USA,14 Vols - Ongoing; digital,True,7.6,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017
23,527,4,0,,38777,All Rounder Meguru,Manga,4,False,Kodansha,False,11/07/10,04/09/20,False,False,Complete,No,ENDO Hiroki,2008.0,Yes,Kodansha USA,14 Vols - Ongoing; digital,False,8.5,384,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2017
24,530,7,0,,105948,All You Need Is Kill,Manga,3,True,Shueisha,False,01/09/14,06/10/14,False,False,Complete,Yes,OBATA Takeshi,2014.0,Yes,Viz,2 Vols - Complete,False,8.3,1185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2014
25,538,15,0,,91384,Amaama to Inazuma,Manga,3,False,Kodansha,False,02/19/15,Pass,False,True,Complete,Yes,AMAGAKURE Gido,2013.0,Yes,Kodansha USA,12 Vols - Complete,True,8.7,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016
26,619,21,0,,130755,Ane Naru Mono,Manga,1,False,ASCII Media Works,False,10/07/17,07/29/20,False,False,Ongoing,No,IIDA Pochi.,2016.0,Yes,Yen Press,3 Vols - Ongoing,False,8,194,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2018
27,622,24,0,,53675,Angel Beats! - Heaven's Door,Manga,8,False,ASCII Media Works,False,01/09/11,12/24/18,False,False,Complete,Yes,"ASAMI Yuriko, Na-Ga",2010.0,Yes,Seven Seas,1 Volume - Dropped,False,7.8,148,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2016
28,625,2,0,,56527,Angel Para Bellum,Manga,0,False,SoftBank Creative,False,Pass,Pass,False,False,Complete,No,TAMAKI Nozomu,2010.0,Yes,Seven Seas,2 Volumes - Dropped,False,6.4,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012
29,642,19,0,,149142,Ano Hito no i Ni Wa Boku Ga Tarinai,Manga,2,False,Kodansha,False,09/12/18,07/31/20,False,False,Ongoing,No,Chomoran,2018.0,Yes,Kodansha USA,November 2020,False,7.8,40,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020
30,646,23,0,,105053,Ano Ko ni Kiss to Shirayuri wo,Manga,2,False,Media Factory,False,08/24/15,03/19/19,False,False,Complete,Yes,Canno,2013.0,Yes,Yen Press,10 Vols - Complete,False,8.2,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2017
31,656,8,0,,52256,Another,Manga,1,False,Kadokawa,False,03/01/11,03/24/12,False,False,Complete,Yes,KIYOHARA Hiro,2010.0,Yes,"Gempak, Yen Press","4 Vols - Complete, 1 Vol - Complete",True,7.5,388,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013
32,673,0,0,,74847,Anything and Something,Manga,1,False,Enterbrain,False,08/08/05,08/08/05,False,False,Complete,Yes,MORI Kaoru,2012.0,Yes,Yen Press,1 Vol - Complete,False,7.6,66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
33,688,15,0,,788,Aoi Haru,Manga,1,False,Shogakukan,False,05/12/05,05/12/05,False,False,Complete,Yes,MATSUMOTO Taiyou,1993.0,Yes,Viz,1 Vol - Complete,False,6.2,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005
34,699,1,0,,47405,Aoki Hagane no Arpeggio,Manga,3,False,Shonen Gahosha,False,07/01/11,Pass,False,True,Ongoing,No,Ark Performance,2009.0,Yes,Seven Seas,15 Vols - Ongoing,True,8.3,256,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2014
35,700,2,0,,140364,Aono-kun ni Sawaritai kara Shinitai,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,SHIINA Umi,2016.0,Yes,Kodansha USA,6 Vols - Ongoing; digital,False,8.7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2017
36,717,19,0,,112350,Appleseed α,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,Yes,KURODA Iou,2014.0,Yes,Kodansha Comics,1 Volume - Complete,False,4.7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
37,779,6,0,,151117,Asadora!,Manga,1,False,Shogakukan,False,11/20/18,07/02/20,False,False,Ongoing,No,URASAWA Naoki,2018.0,Yes,Viz,January 2021,False,7.7,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2021
38,789,16,0,,3445,Asatte Dance,Manga,0,False,"Ohta Books, Shogakukan",False,Pass,Pass,False,False,Complete,Yes,YAMAMOTO Naoki,1989.0,Yes,Viz,7 Vols - Complete/Expired,False,6.9,168,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1998
39,791,18,0,,150904,Ase to Sekken,Manga,2,False,Kodansha,False,01/25/19,02/14/20,False,False,Ongoing,No,Yamada Kintetsu,2018.0,Yes,Kodansha USA,2 Vols - Ongoing; print & digital,False,8.3,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020
40,805,7,0,,156776,Assassin's Creed: China,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Ongoing,No,KURATA Minoji,2019.0,Yes,Viz,,False,Not rated,Not rated,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021
41,856,13,0,,146036,Ayashi Kotogatari,Manga,1,False,Mag Garden,False,06/19/20,06/19/20,False,False,Complete,No,SHIROTORI Ushio,2018.0,Yes,Seven Seas,2 Vols - Ongoing,False,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2019
42,869,1,0,,120280,Back Street Girls - Washira Idol Hajimemashita.,Manga,2,False,Kodansha,False,11/20/16,01/16/19,False,False,Complete,Yes,Jasmine Gyuh,2015.0,Yes,Kodansha USA,12 Vols - Complete; digital,True,7.2,71,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
