,Unnamed: 0,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
22,0,145925,Hakozume: Koban Joshi no Gyakushuu,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,YASU Miko,2017.0,No,,,False,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,0,148225,Haku,Manga,0,False,Takeshobo,False,Pass,Pass,False,False,Complete,No,SHIBUSAWA Satsuki,1991.0,No,,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,0,37369,Haku - Next Generation,Manga,0,False,Takeshobo,False,Pass,Pass,False,False,Ongoing,No,SHIBUSAWA Satsuki,2008.0,No,,,False,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,0,124099,Hakuai no Hito,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,GEORGE Akiyama,1993.0,No,,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,17283,Hakuba no Oujisama,Manga,2,False,Shogakukan,False,02/17/19,07/02/19,False,False,Complete,No,SAKU Yukizo,2005.0,No,,,False,7.8,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,0,108892,Hakuba no Oyome-san,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,SOUJI Hajime,2014.0,No,,,False,Not rated,Not rated,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,0,102580,Hakubo no Chronicle,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,YUUKI Masami,2013.0,No,,,False,Not rated,Not rated,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,0,46988,Hakuganshi,Manga,0,False,Ushio Shuppansha,False,Pass,Pass,False,False,Complete,No,YAMAGISHI Ryouko,2000.0,No,,,False,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,112420,Hakuginhi,Manga,0,False,Enterbrain,False,Pass,Pass,False,False,Unknown,No,MUTSUKI Nozomi,2013.0,No,,,False,8.5,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,0,61597,Hakuhatsuki,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,YOKOYAMA Mitsuteru,1970.0,No,,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,25348,Hakui na Kanojo,Manga,0,False,Bunkasha,False,Pass,Pass,False,False,Complete,No,,2003.0,No,,,False,Not rated,Not rated,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,51020,Hakui no Kanojo,Manga,1,False,Shueisha,False,01/07/10,01/07/10,False,False,Ongoing,No,HISAKA Mika,2009.0,No,,,False,5.9,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
