,ID,Year published in English
74,118623,2018
75,76715,2013
76,129660,2016
77,114750,2017
78,105825,2015
79,110083,2015
80,6468,2007
81,97239,2018
82,140013,2019
83,90588,2014
84,48265,2015
85,85089,2018
86,74907,2016
87,146750,2018
88,112687,2016
89,135554,2018
90,139763,2020
91,144835,2020
92,109745,2016
93,154261,2021
94,139230,2019
95,135552,2018
96,2704,2007
97,77748,2015
98,148882,2020
99,105210,2014
100,114383,2016
101,116559,2016
102,41632,2013
103,64902,2014
104,147724,2020
105,69658,2013
106,119929,2019
107,42932,2018
108,107147,2017
109,141277,2018
110,78322,2017
111,2379,2007
112,151792,2020
113,118367,2017
114,2245,2007
115,154172,2020
116,60345,2018
117,79549,2016
118,111876,2016
119,163100,2020
