,0
2000,41.0
2001,184.0
2002,822.0
2003,2501.0
2004,3793.0
2005,7316.666666666667
2006,9278.916666666666
2007,12170.000000000005
2008,16685.583333333343
2009,24175.33333333334
2010,24888.933333333327
2011,26807.383333333335
2012,29316.916666666668
2013,28392.999999999993
2014,30119.66666666665
2015,45024.0
2016,67520.83333333336
2017,65684.04999999999
2018,45212.66666666667
2019,52257.00000000001
2020,59266.41666666668
