,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
248,24,0,,119928,After Hours,Manga,1,False,Shogakukan,False,06/20/15,03/03/18,False,False,Complete,No,NISHIO Yuuta,2015,Yes,Viz,3 Vols - Complete,False,7.9,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
251,2,0,,64690,Again!!,Manga,6,False,Kodansha,False,09/28/12,07/24/20,False,False,Complete,Yes,KUBO Mitsurou,2011.0,Yes,Kodansha USA,12 Vols - Complete,False,8.2,526,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
256,7,0,,158809,Agravity Boys,Manga,2,False,Shueisha,False,01/26/20,Pass,True,True,Ongoing,No,NAKAMURA Atsushi,2019.0,Yes,"MANGA Plus, Viz",,False,6.2,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
257,8,0,,88303,Aho Girl,Manga,10,False,Kodansha,False,12/22/13,04/12/19,False,False,Complete,Yes,Hiroyuki,2012.0,Yes,Kodansha USA,12 Vols - Complete; Print & Digital,True,7.4,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
266,17,0,,37190,Ai ga Nakute mo Kutte Yukemasu.,Manga,0,False,"Lezhin, Ohta Shuppan",False,Pass,Pass,False,False,Complete,No,YOSHINAGA Fumi,2005.0,Yes,Yen Press,1 Vol - Complete,False,7,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
329,6,0,,2815,Ai o Utau Yori Ore ni Oborero!,Manga,1,False,"Kadokawa Shoten, Shogakukan",False,07/30/06,11/28/09,False,False,Complete,Yes,SHINJO Mayu,2006,Yes,Viz,3 Vols - Complete,False,7.2,624,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
334,11,0,,28420,Ai Ore! - Danshikou no Hime to Joshikou no Ouji,Manga,3,False,Kadokawa Shoten,False,08/08/09,08/10/13,False,False,Complete,Yes,SHINJO Mayu,2007,Yes,Viz,5 Vols - Complete,False,7.1,261,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
376,3,0,,148131,AICO Incarnation,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,MICHIAKI Hiroaki,2017,Yes,Kodansha USA,3 Vols - Ongoing; digital,False,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
398,0,0,,491,Air Gear,Manga,29,True,Kodansha,False,08/20/05,12/26/15,False,False,Complete,Yes,Oh! Great,2003,Yes,"Del Rey, Kodansha USA, Tanoshimi","Defunct / 17 Vols, 37 Vols - Complete, Defunct / 7 Vols",True,7.4,1862,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
424,1,0,,123,Aishiteruze Baby,Manga,2,False,Shueisha,False,11/13/04,05/08/05,False,False,Complete,Yes,MAKI Youko,2002,Yes,Viz,7 Vols - Complete,True,8.4,1594,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
427,4,0,,12090,Aisubeki Musume-tachi,Manga,0,False,Hakusensha,False,Pass,Pass,False,False,Complete,Yes,YOSHINAGA Fumi,2002,Yes,Viz,1 Vol - Complete; Digital,False,8.3,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
442,19,0,,75929,Ajin,Manga,4,True,Kodansha,False,02/11/14,Pass,False,True,Ongoing,No,SAKURAI Gamon,2012,Yes,"Kodansha USA, Vertical","14 Vols - Ongoing; digital, 14 Vols - Ongoing; print",True,8.4,513,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
444,21,0,,1110,Aka-chan to Boku,Manga,1,True,Hakusensha,False,08/07/04,02/06/05,False,False,Complete,Yes,RAGAWA Marimo,1991,Yes,Viz,18 Vols - Complete,True,8.9,117,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
446,23,0,,16482,Akagami no Shirayukihime,Manga,11,False,Hakusensha,False,11/30/09,07/27/20,False,False,Ongoing,No,AKIZUKI Sorata,2006,Yes,Viz,8 Vols - Ongoing,True,8.6,1248,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
465,17,0,,52028,Akame ga Kiru!,Manga,11,False,Square Enix,False,05/03/12,06/03/20,False,False,Complete,Yes,TASHIRO Tetsuya,2010,Yes,Yen Press,,True,8,1120,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
466,18,0,,102282,Akame ga Kiru! Zero,Manga,2,False,Square Enix,False,11/19/13,12/06/14,False,False,Complete,Yes,TORU Kei,2013,Yes,Yen Press,,False,7.2,86,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
