,0
2000,0
2001,0
2002,0
2003,3
2004,7
2005,4
2006,6
2007,14
2008,10
2009,17
2010,12
2011,30
2012,30
2013,26
2014,19
2015,16
2016,20
2017,13
2018,17
2019,22
2020,83
