,0
2000,1
2001,10
2002,32
2003,99
2004,123
2005,210
2006,290
2007,428
2008,546
2009,604
2010,456
2011,433
2012,449
2013,484
2014,524
2015,791
2016,735
2017,613
2018,679
2019,878
2020,1011
