,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
15,1573,5,0,,68954,Clover no Kuni no Alice - Heart no Kishi,Manga,3,False,Ichijinsha,False,01/15/12,06/17/13,False,False,Complete,Yes,FUJIMARU Mamenosuke,2009.0,Yes,Seven Seas,1 Volume - Complete,False,7.1,44,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
16,1575,7,0,,67788,Clover no Kuni no Alice - Kuroi Tokage to Nigai Aji,Manga,1,False,Ichijinsha,False,08/01/12,04/01/15,False,False,Complete,Yes,MINAMOTO Ichimi,2011.0,Yes,Seven Seas,,False,8.1,18,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
17,1578,10,0,,75149,Clover no Kuni no Alice - Sangatsu Usagi no Kakumei,Manga,1,False,Ichijinsha,False,06/11/13,06/11/13,False,False,Complete,Yes,KAZUKI Ryou,2012.0,Yes,Seven Seas,1 Volume - Complete,False,6.6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
18,1579,11,0,,55391,Clover no Kuni no Alice - Shiro Usagi to Tokeijikake no Wana,Manga,0,False,Ichijinsha,False,Pass,Pass,False,False,Complete,No,KIZAKI Nayu,2010.0,Yes,Seven Seas,,False,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
19,1650,7,0,,39115,Crimson Empire - Circumstances to Serve a Noble,Manga,4,False,Ichijinsha,False,11/15/09,06/09/12,False,False,Complete,No,FUTABA Hazuki,2008.0,Yes,Seven Seas,3 Volumes - Complete,False,7.7,143,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
20,2180,18,0,,73646,Elhanburg no Tenshi,Manga,1,False,Shodensha,False,10/02/13,01/01/15,False,False,Complete,Yes,Aki (あき),2010,Yes,Yen Press,1 Vol - Complete,False,7.6,73,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
21,2325,21,0,,146143,Fate/Grand Order -mortalis:stella-,Manga,0,False,Ichijinsha,False,Pass,Pass,False,False,Ongoing,No,Shiramine,2017.0,Yes,Kodansha Comics,1 Vols - Ongoing,False,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019
22,2416,19,0,,115938,Frau Faust,Manga,3,False,Kodansha,False,06/13/16,09/14/16,False,False,Complete,Yes,YAMAZAKI Kore,2014,Yes,Kodansha Comics,5 Volumes - Complete,False,8,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
23,2433,11,0,,122178,Fudanshi Koukou Seikatsu,Manga,1,False,Ichijinsha,False,10/17/15,08/06/16,False,False,Complete,No,MICHINOKU Atami,2015.0,Yes,Seven Seas,5 Vols - Complete,True,8.1,69,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
24,2518,21,0,,142521,Fushigi Yuugi: Byakko Senki,Manga,2,False,Shogakukan,False,09/07/17,05/22/18,False,False,Ongoing,No,WATASE Yuu,2017.0,Yes,Viz,1 Volume - Ongoing,False,8.8,10,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2020
25,2633,18,0,,147063,Genderless Danshi ni Ai sarete imasu.,Manga,1,False,Shodensha,False,10/19/18,11/24/19,False,False,Ongoing,No,Tamekou,2018,Yes,Seven Seas,1 Vols - Ongoing,False,7.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020
26,2687,22,0,,84668,Ginban Kishi,Manga,1,False,Kodansha,False,04/26/15,07/19/16,False,False,Complete,No,OGAWA Yayoi,2012,Yes,Kodansha USA,2 Vols - Ongoing,False,7.3,34,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2020
27,2880,23,0,,148904,Guilty - Nakanu Hotaru ga Mi o Kogasu,Manga,0,False,"Beaglee Inc., Kodansha",False,Pass,Pass,False,False,Ongoing,No,OKAUE Ai,2017,Yes,Kodansha Comics,5 Vols - Ongoing; digital,False,8.1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
28,2935,4,0,,581,Hachimitsu to Clover,Manga,4,True,Shueisha,False,08/07/04,10/20/08,False,False,Complete,Yes,UMINO Chica,2000.0,Yes,Viz,10 Volumes - Complete; Digital,True,8.5,383,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
29,3119,13,0,,39675,Hapi Mari,Manga,5,False,Shogakukan,False,04/01/11,01/01/13,False,False,Complete,Yes,ENJOUJI Maki,2009,Yes,Viz,10 Volumes - Completed,False,8.3,1508,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013
30,3223,1,0,,71783,Heart no Kuni no Alice - Koisuru Ibara no Meikyuu,Manga,1,False,Ichijinsha,False,06/15/12,03/03/13,False,False,Complete,Yes,KURIHARA Aoi,2011.0,Yes,Seven Seas,1 Volume - Complete,False,8.4,7,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
31,3324,12,0,,7662,Hikari to Tomo ni...,Manga,0,True,Akita Shoten,False,Pass,Pass,False,False,Ongoing,Yes,TOBE Keiko,2000,Yes,Yen Press,8 Vols - Complete,False,9.2,38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
32,3554,17,0,,5752,Hotaru no Hikari,Manga,2,False,Kodansha,False,04/01/12,02/05/18,False,False,Complete,No,HIURA Satoru,2004,Yes,Kodansha USA,14 Vols - Ongoing; digital,False,8,265,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017
33,4097,11,0,,65061,Joker no Kuni no Alice - Circus to Usotsuki Game,Manga,4,False,Ichijinsha,False,07/07/12,11/04/14,False,False,Complete,No,FUJIMARU Mamenosuke,2011,Yes,Seven Seas,7 Volumes - Complete,False,7,7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
34,4277,16,0,,104166,Kakafukaka,Manga,2,False,Kodansha,False,08/19/18,09/16/18,False,False,Ongoing,No,ISHIDA Takumi,2013.0,Yes,Kodansha USA,9 Vols - Ongoing; digital,False,9,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
