,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2702,2713,13,0,Franky House,No,Inactive Group,1510,90,04/05/07,12/23/14,46,6,28,53,0,37,15,24,4,10,0,7,4,0,0,1,6,1,5,4,29,24,13,15,0,5,1,47,1,8,0,6,27,4,0,0
2703,2714,14,0,Franky-Family Scanlations,No,Inactive Group,15,3,08/25/10,04/05/11,1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
2704,2715,15,0,FRC,No,Inactive Group,1,1,04/07/09,04/07/09,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2705,2716,16,0,Freak and Dirtbag,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706,2717,17,0,frecklegirl,No,Inactive Group,3,2,09/06/13,06/20/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2707,2718,18,0,FredFriendly,Yes,Infrequently,279,12,09/05/16,07/21/20,0,1,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0
2708,2719,19,0,Free Time,No,Inactive Group,25,3,01/10/09,11/30/12,0,3,0,3,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,3,2,0,3,0,0,0,0,0,1,0,0,1,0,0,0
2709,2720,20,0,Free! Scanlations,No,Inactive Group,5,5,10/01/14,11/10/14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
2710,2721,21,0,Freed Wings,No,Inactive Group,16,3,09/02/07,10/05/08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2711,2722,22,0,Freedom Scans,Yes,Often. About every 3 to 4 day(s),57,6,04/19/20,08/03/20,3,0,0,2,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,0,1,0,3,0,1,0,0,2,0,0,0
2712,2723,23,0,Freekscans,Yes,Occasionally. About every 20 day(s),25,1,10/31/18,05/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2713,2724,24,0,Freelance Machine Translations,Yes,Infrequently,1,1,07/10/20,07/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2714,2725,0,0,Freelance Translators,Yes,Infrequently,4,1,10/19/19,05/14/20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2715,2726,1,0,Freelance-Manga,No,Inactive Group,112,6,05/10/06,03/18/09,3,0,3,2,0,3,0,1,0,0,0,2,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0
2716,2727,2,0,Freelancer,No,Inactive Group,44,11,04/12/09,01/12/10,5,0,1,6,0,1,0,4,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,2,0,0,0,7,0,1,0,0,2,0,0,0
2717,2728,3,0,Freelander Team,No,Inactive Group,3,2,08/12/09,09/01/09,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2718,2729,4,0,Freesouls,Yes,Often. About every 4 day(s),12,3,06/14/20,07/26/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2719,2730,5,0,Freewheeling Scanlations,Yes,Occasionally. About every 18 day(s),140,8,11/05/14,08/02/20,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0,0,2,0,0,1,0,0,0
2720,2731,6,0,French Frog Scans,Yes,Often. About every 5 to 6 day(s),22,2,04/08/20,08/04/20,1,0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2721,2732,7,0,FrenziedFrog Scan,Yes,Often. About every 8 to 9 day(s),9,2,05/28/20,08/03/20,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
2722,2733,8,0,Fresh Peach Heart Shower,No,Inactive Group,30,2,07/31/19,01/07/20,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2723,2734,9,0,Freyaminnie,No,Inactive Group,3,2,09/13/09,11/18/09,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2724,2735,10,0,Freyr Scans,No,Inactive Group,8,1,07/07/18,07/24/18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2725,2736,11,0,FREYY,Yes,Often. About every 1 to 2 day(s),5,1,07/07/20,07/16/20,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2726,2737,12,0,Fried Squid Scans,No,Inactive Group,82,10,08/03/13,12/13/15,3,0,1,6,0,5,0,2,0,1,0,1,0,0,0,0,2,0,2,0,3,3,0,3,0,2,0,4,0,4,0,0,5,0,0,0
2727,2738,13,0,friendly translations scan,Yes,Infrequently,2,1,08/03/20,08/04/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2728,2739,14,0,Friends of Elves,Yes,Infrequently,1,1,07/21/20,07/21/20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2729,2740,15,0,Friendship Is Power,No,Inactive Group,53,1,09/29/16,01/24/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2730,2741,16,0,Friendship Scans,Yes,Often. About every 1 to 2 day(s),1413,107,04/11/12,08/04/20,11,1,10,32,0,43,0,30,8,1,0,20,6,10,0,1,2,0,14,5,72,17,3,2,0,58,0,6,1,8,2,0,27,5,1,0
2731,2742,17,0,frillyfujoshidev,No,Inactive Group,6,5,12/01/14,12/24/14,2,0,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0
2732,2743,18,0,frillyfujoshitranslations,No,Inactive Group,28,4,02/21/15,09/27/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2733,2744,19,0,Frisia Scans,No,Inactive Group,1,1,07/17/18,07/17/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,2745,20,0,frodolass,No,Inactive Group,2,2,06/10/11,07/01/11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2735,2746,21,0,Froger,No,Inactive Group,1,1,03/31/08,03/31/08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
